date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:24:38	7651/7651	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ee94106-1de3%22	https://eduadmin-template.multipurposethemes.com/bs5/main/js/pages/chartjs-int.js	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/main/js/pages/chartjs-int.js	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_chart.html)
09:24:38	217183/217183	---M--	200	added ('OK')	image/jpeg	etag:%225b2d84f4-3505f%22	https://eduadmin-template.multipurposethemes.com/bs5/images/gallery/thumb-sm/5.jpg	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/gallery/thumb-sm/5.jpg	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_blog.html)
09:24:39	7317/7317	---M--	200	added ('OK')	image/png	etag:%225ee906ea-1c95%22	https://eduadmin-template.multipurposethemes.com/bs5/images/avatar/avatar-10.png	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/avatar/avatar-10.png	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_list.html)
09:24:39	6502/6502	---M--	200	added ('OK')	image/png	etag:%225ee906ee-1966%22	https://eduadmin-template.multipurposethemes.com/bs5/images/avatar/avatar-11.png	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/avatar/avatar-11.png	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_list.html)
09:24:40	134113/134113	---M--	200	added ('OK')	image/jpeg	etag:%225eea97ca-20be1%22	https://eduadmin-template.multipurposethemes.com/bs5/images/gallery/creative/img-1.jpg	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/gallery/creative/img-1.jpg	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_list.html)
09:24:40	28946/28946	---M--	200	added ('OK')	image/jpeg	etag:%225ee90c7c-7112%22	https://eduadmin-template.multipurposethemes.com/bs5/images/gallery/creative/img-3.jpg	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/gallery/creative/img-3.jpg	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_list.html)
09:24:40	136697/136697	---M--	200	added ('OK')	image/jpeg	etag:%225eea97dc-215f9%22	https://eduadmin-template.multipurposethemes.com/bs5/images/gallery/creative/img-2.jpg	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/gallery/creative/img-2.jpg	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_list.html)
09:24:40	838519/838519	---M--	200	added ('OK')	image/jpeg	etag:%225b2d83ca-ccb77%22	https://eduadmin-template.multipurposethemes.com/bs5/images/gallery/thumb/12.jpg	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/gallery/thumb/12.jpg	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_blog.html)
09:24:41	5065/5065	---M--	200	added ('OK')	image/png	etag:%225ee906da-13c9%22	https://eduadmin-template.multipurposethemes.com/bs5/images/avatar/avatar-7.png	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/avatar/avatar-7.png	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_list.html)
09:24:41	6270/6270	---M--	200	added ('OK')	image/png	etag:%225ee906e0-187e%22	https://eduadmin-template.multipurposethemes.com/bs5/images/avatar/avatar-8.png	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/avatar/avatar-8.png	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_list.html)
09:24:41	186/186	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b3527fa-ba%22	https://eduadmin-template.multipurposethemes.com/bs5/main/js/pages/list.js	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/main/js/pages/list.js	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_list.html)
09:24:42	130984/130984	---M--	200	added ('OK')	image/jpeg	etag:%225eea9948-1ffa8%22	https://eduadmin-template.multipurposethemes.com/bs5/images/gallery/creative/img-8.jpg	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/gallery/creative/img-8.jpg	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_social.html)
09:24:43	125530/125530	---M--	200	added ('OK')	image/jpeg	etag:%225eea993c-1ea5a%22	https://eduadmin-template.multipurposethemes.com/bs5/images/gallery/creative/img-7.jpg	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/gallery/creative/img-7.jpg	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_social.html)
09:24:44	108769/108769	---M--	200	added ('OK')	image/jpeg	etag:%225eea995a-1a8e1%22	https://eduadmin-template.multipurposethemes.com/bs5/images/gallery/creative/img-9.jpg	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/gallery/creative/img-9.jpg	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_social.html)
09:24:45	976361/976361	---M--	200	added ('OK')	image/png	etag:%225e167e08-ee5e9%22	https://eduadmin-template.multipurposethemes.com/bs5/images/photo1.png	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/photo1.png	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_social.html)
09:24:46	6812/6812	---M--	200	added ('OK')	image/png	etag:%225ee906e4-1a9c%22	https://eduadmin-template.multipurposethemes.com/bs5/images/avatar/avatar-9.png	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/avatar/avatar-9.png	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_social.html)
09:24:47	23001/23001	---M--	200	added ('OK')	image/jpeg	etag:%225f17250e-59d9%22	https://eduadmin-template.multipurposethemes.com/bs5/images/user1-128x128.jpg	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/user1-128x128.jpg	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_social.html)
09:24:47	2555873/2555873	---M--	200	added ('OK')	image/jpeg	etag:%225b6e1a40-26ffe1%22	https://eduadmin-template.multipurposethemes.com/bs5/images/gallery/full/1.jpg	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/gallery/full/1.jpg	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_social.html)
09:24:48	24068/24068	---M--	200	added ('OK')	image/jpeg	etag:%225f1724c8-5e04%22	https://eduadmin-template.multipurposethemes.com/bs5/images/user3-128x128.jpg	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/user3-128x128.jpg	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_social.html)
09:24:48	23561/23561	---M--	200	added ('OK')	image/jpeg	etag:%225f1724ba-5c09%22	https://eduadmin-template.multipurposethemes.com/bs5/images/user4-128x128.jpg	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/user4-128x128.jpg	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_social.html)
09:24:48	1351564/1351564	---M--	200	added ('OK')	image/jpeg	etag:%225f8e3e68-149f8c%22	https://eduadmin-template.multipurposethemes.com/bs5/images/gallery/full/2.jpg	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/gallery/full/2.jpg	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_social.html)
09:24:48	22835/22835	---M--	200	added ('OK')	image/jpeg	etag:%225f1724ac-5933%22	https://eduadmin-template.multipurposethemes.com/bs5/images/user5-128x128.jpg	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/user5-128x128.jpg	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_social.html)
09:24:49	721216/721216	---M--	200	added ('OK')	image/jpeg	etag:%225b2d83a6-b0140%22	https://eduadmin-template.multipurposethemes.com/bs5/images/gallery/thumb/15.jpg	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/gallery/thumb/15.jpg	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_statistic.html)
09:24:51	116823/116823	---M--	200	added ('OK')	image/jpeg	etag:%225eea9968-1c857%22	https://eduadmin-template.multipurposethemes.com/bs5/images/gallery/creative/img-10.jpg	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/gallery/creative/img-10.jpg	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_statistic.html)
09:24:51	613465/613465	---M--	200	added ('OK')	image/jpeg	etag:%225b2d83b4-95c59%22	https://eduadmin-template.multipurposethemes.com/bs5/images/gallery/thumb/14.jpg	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/gallery/thumb/14.jpg	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_statistic.html)
09:24:52	339/339	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b10a0fc-153%22	https://eduadmin-template.multipurposethemes.com/bs5/main/js/pages/statistic.js	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/main/js/pages/statistic.js	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_statistic.html)
09:24:52	1641153/1641153	---M--	200	added ('OK')	image/jpeg	etag:%225b6e19e2-190ac1%22	https://eduadmin-template.multipurposethemes.com/bs5/images/gallery/full/10.jpg	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/images/gallery/full/10.jpg	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_statistic.html)
09:24:54	26281/26281	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c020ea-66a9%22	https://eduadmin-template.multipurposethemes.com/bs5/assets/vendor_plugins/weather-icons/WeatherIcon.js	D:/project_course_shop_ui/admin/Edu_admin/eduadmin-template.multipurposethemes.com/bs5/assets/vendor_plugins/weather-icons/WeatherIcon.js	(from https://eduadmin-template.multipurposethemes.com/bs5/main/widgets_weather.html)
